x y cx cy
-2.2587256914409086228 -0.9531250000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.2761644002447716240 -0.9062500000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.2810870884082632415 -0.4375000000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.2652586155305858284 -0.3750000000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.1797599689762137132 -0.1250000000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.0640854406016417855 0.1250000000000000000 -2.1879999994300307620    -1.4819999998435378075
-2.0241369411212395413 0.1953125000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.9961709414903681115 0.2402343750000000000 -2.1879999994300307620    -1.4819999998435378075
-1.9462476946507432096 0.3125000000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.9224207754067341725 0.3437500000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.9035182867182767197 0.3671875000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.9011393802249816343 0.3700561523437500000 -2.1879999994300307620    -1.4819999998435378075
-1.8697956841511094161 0.4062500000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.7170401636361289910 0.5468750000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.7065818728133759219 0.5546875000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.6985562448211484199 0.5605468750000000000 -2.1879999994300307620    -1.4819999998435378075
-1.6851635012523129564 0.5700683593750000000 -2.1879999994300307620    -1.4819999998435378075
-1.6180129123171398398 0.6132812500000000000 -2.1879999994300307620    -1.4819999998435378075
-1.6045528823386732142 0.6210937500000000000 -2.1879999994300307620    -1.4819999998435378075
-1.4652021233347689577 0.6875000000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.2357941822861802095 0.7500000000000000000 -2.1879999994300307620    -1.4819999998435378075
-1.2880721468568026022 0.7401123046875000000 -2.1879999994300307620    -1.4819999998435378075
-1.2358006027523946724 0.7499989271163940430 -2.1879999994300307620    -1.4819999998435378075
0.1367553900374904319 0.7812500000000000000 -2.1879999994300307620    -1.4819999998435378075
0.1612966316179637871 0.7900390625000000000 -2.1879999994300307620    -1.4819999998435378075
0.2133622454790782552 0.8100585937500000000 -2.1879999994300307620    -1.4819999998435378075
0.2752112540704230725 0.8359375000000000000 -2.1879999994300307620    -1.4819999998435378075
0.2886046771977704983 0.8417968750000000000 -2.1879999994300307620    -1.4819999998435378075
0.3083654725898900550 0.8505859375000000000 -2.1879999994300307620    -1.4819999998435378075
0.3363131205460742623 0.8632812500000000000 -2.1879999994300307620    -1.4819999998435378075
0.3532167611760154147 0.8710937500000000000 -2.1879999994300307620    -1.4819999998435378075
0.3946989875499297140 0.8906250000000000000 -2.1879999994300307620    -1.4819999998435378075
0.6183532875089093883 1.0000000000000000000 -2.1879999994300307620    -1.4819999998435378075
0.6824347893194580017 1.0312500000000000000 -2.1879999994300307620    -1.4819999998435378075
1.0289770377717284422 1.1875000000000000000  -2.1879999994300307620    -1.4819999998435378075
1.1086288343459749228 1.2187500000000000000 -2.1879999994300307620    -1.4819999998435378075
1.1125166575438660832 1.2202148437500000000 -2.1879999994300307620    -1.4819999998435378075
1.1391979781990639875 1.2301025390625000000 -2.1879999994300307620    -1.4819999998435378075
1.1729826493598938253 1.2421875000000000000 -2.1879999994300307620    -1.4819999998435378075
1.1956322287798561987 1.2499990463256835938 -2.1879999994300307620    -1.4819999998435378075
1.2952951161179302453 1.2812500000000000000 -2.1879999994300307620    -1.4819999998435378075
1.3383279675973824840 1.2929687500000000000 -2.1879999994300307620    -1.4819999998435378075
1.3677724770648878039 1.3002929687500000000 -2.1879999994300307620    -1.4819999998435378075   
1.1896071045137086575 1.2500000000000000000 -2.1700000006705524314    -1.4400000013411045074
0.9787341573075949430 1.1708984375000000000 -2.1700000006705524314    -1.4400000013411045074
1.0026328274795177631 1.1806640625000000000 -2.1700000006705524314    -1.4400000013411045074
1.1007058949438432993 1.2187500000000000000 -2.1700000006705524314    -1.4400000013411045074
1.4283175990650531784 1.3125000000000000000 -2.1700000006705524314    -1.4400000013411045074
1.5489067215411960188 1.3281250000000000000 -2.1700000006705524314    -1.4400000013411045074
1.5817982857277523845 1.3300781250000000000 -2.1700000006705524314    -1.4400000013411045074
0.4626085203930143108 0.9335937500000000000 -2.1700000006705524314    -1.4400000013411045074
0.5445149376593276802 0.9726562500000000000 -2.1700000006705524314    -1.4400000013411045074
0.5608127034545672407 0.9804687500000000000 -2.1700000006705524314    -1.4400000013411045074
0.5811833817548858194 0.9902343750000000000 -2.1700000006705524314    -1.4400000013411045074
0.6342674771531567890 1.0156250000000000000 -2.1700000006705524314    -1.4400000013411045074
0.6445144161721624299 1.0205078125000000000 -2.1700000006705524314    -1.4400000013411045074
0.4042289436181017992 0.9062500000000000000 -2.1700000006705524314    -1.4400000013411045074
0.2285195865523537428 0.8300781250000000000  -2.1700000006705524314    -1.4400000013411045074
0.2552636746046641480 0.8408203125000000000 -2.1700000006705524314    -1.4400000013411045074
0.1770048505567884956 0.8105468750000000000 -2.1700000006705524314    -1.4400000013411045074
0.3353323023719627094 0.8750000000000000000  -2.1700000006705524314    -1.4400000013411045074
-1.4968245596507563366 0.6875000000000000000 -2.1700000006705524314    -1.4400000013411045074  
-2.0104306098466722119 0.2265625000000000000 -2.1700000006705524314    -1.4400000013411045074
-2.1187730871502346019 0.0214843750000000000 -2.1700000006705524314    -1.4400000013411045074
-2.0680430318557507796 0.1250000000000000000 -2.1700000006705524314    -1.4400000013411045074
-2.1354210472751060657 -0.0156250000000000000 -2.1700000006705524314    -1.4400000013411045074
-2.1806003580260209240 -0.1250000000000000000 -2.1700000006705524314    -1.4400000013411045074
-2.2307822159770909209 -0.2656250000000000000  -2.1700000006705524314    -1.4400000013411045074     
-2.2778308646119649339 -0.4375000000000000000 -2.1700000006705524314    -1.4400000013411045074
-2.2649876932804868801 -0.9091796875000000000 -2.1700000006705524314    -1.4400000013411045074
-2.2711628398234231518 -0.8906250000000000000  -2.1700000006705524314    -1.4400000013411045074
-2.2619509799825427976 -0.9531250000000000000 -2.1939999997150154698    -1.4939999997150152922
-2.3120285811504794893 -0.6406250000000000000 -2.1939999997150154698    -1.4939999997150152922
-2.2993942600146328736 -0.5234375000000000000 -2.1939999997150154698    -1.4939999997150152922
-2.2821424724845460474 -0.4375000000000000000 -2.1939999997150154698    -1.4939999997150152922
-2.2184191710325977809 -0.2265625000000000000 -2.1939999997150154698    -1.4939999997150152922
-2.0631166850007955915 0.1250000000000000000 -2.1939999997150154698    -1.4939999997150152922
-1.9443584894895489246 0.3125000000000000000 -2.1939999997150154698    -1.4939999997150152922
-1.9325322148508661257 0.3281250000000000000 -2.1939999997150154698    -1.4939999997150152922
-1.7331175211131797376 0.5312500000000000000 -2.1939999997150154698    -1.4939999997150152922
-1.5913557345731310644 0.6250000000000000000 -2.1939999997150154698    -1.4939999997150152922
-1.4555135678975210656 0.6875000000000000000 -2.1939999997150154698    -1.4939999997150152922
0.2308267542914862747 0.8125000000000000000  -2.1939999997150154698    -1.4939999997150152922
0.4227678854861134372 0.9003906250000000000 -2.1939999997150154698    -1.4939999997150152922
0.4665747805380439650 0.9218750000000000000 -2.1939999997150154698    -1.4939999997150152922
0.5296058721372728373 0.9531250000000000000 -2.1939999997150154698    -1.4939999997150152922
0.5924623331792949754 0.9843750000000000000 -2.1939999997150154698    -1.4939999997150152922
0.6082188553230313266 0.9921875000000000000 -2.1939999997150154698    -1.4939999997150152922     
0.5443303343023262464 0.9604492187500000000 -2.1939999997150154698    -1.4939999997150152922
