cx                   cy
0.44140625000000000 -0.49719190597534180 
0.37500000000000000 -0.64630514383316040
0.18750000000000000 -0.74670612812042236  
0.12500000000000000 -0.76845300197601318 
0.09765625000000000 -0.77950620651245117 
0.03955078125000000 -0.81082302331924438 
0.01562500000000000 -0.82988393306732178 
-0.03125000000000000 -0.91639447212219238
-0.25000000000000000 -1.04706919193267822
-0.28125000000000000 -0.85263782739639282
-0.30999934673309326 -0.78345239162445068
-0.36718750000000000 -0.71596527099609375 
-0.37109375000000000 -0.71228367090225220
-0.54687500000000000 -0.59108853340148926 
-0.55468750000000000 -0.58703893423080444 
-0.59375000000000000 -0.56806796789169312 
-0.60156250000000000 -0.56451821327209473 
-0.61718750000000000 -0.55765116214752197 
-0.62001037597656250 -0.55644285678863525
-0.97656250000000000 -0.45198556780815125 
-0.98022460937500000 -0.45104587078094482
-0.99999904632568359 -0.44588690996170044 
-1.09375000000000000 -0.41876447200775146 
-1.10937500000000000 -0.41370394825935364
-1.12005615234375000 -0.41014069318771362 
-1.18750000000000000 -0.38549238443374634 
-1.32812500000000000 -0.31890726089477539 
-1.33593750000000000 -0.31440448760986328 
-1.35937500000000000 -0.30021101236343384 
-1.36718750000000000 -0.29523074626922607 
-1.37011718750000000 -0.29332843422889709 
-1.43750000000000000 -0.24313387274742126
-1.50000000000000000 -0.17959301173686981 
-1.52343750000000000 -0.14798323810100555 
-1.53002929687500000 -0.13778927922248840 
-1.54687500000000000 -0.10763423144817352
